TF,mean_delta,median_delta,n_targets
SUPT16H,-0.0197460022609055,-0.011539647579245818,299
ZNF354A,-0.01957442676450816,-0.07689673994308205,3
AEBP2,0.019546172110237736,0.017749462512653223,89
FEV,0.019364900730088157,0.02993472845768743,103
EGFR,0.019352730463344327,-0.05697532009493858,6
MAFG,0.019230458360169872,0.019454554797536647,288
PCGF6,0.01899613117290099,0.01899613117290099,2
THRA,-0.018889177237961807,-0.008521538526589163,8
NUFIP1,0.018756550820631105,0.03150503076314132,8
ZNF134,-0.018647409512037836,-0.01701367880742699,153
ZNF555,-0.01854533641036781,0.001051997005206251,20
ZNF514,0.018466937362138308,0.018466937362138308,1
HJURP,-0.01829522049887909,0.0015642604426388401,4
HOXB4,-0.018222734510902467,-0.002203512204299922,102
CIITA,-0.018190135239947343,-0.048615350785910616,63
ERCC8,0.01811590594261376,0.01811590594261376,2
HMGB2,-0.018112647646687425,-0.012557393990868082,75
OVOL3,0.018034931019658192,-0.007689900998419097,41
HHEX,-0.01795682938765487,-0.009607815484040383,116
PAX7,-0.017558256180865255,-0.03140281839498221,121
TERF1,0.01743646254966607,0.01782789215991956,59
TFCP2,0.01736211694905902,0.00265792872189281,10
SRPK1,0.017212092599459137,0.025371439709575713,22
SMARCA1,-0.017037689793694938,-0.03626003466916503,21
ZNF157,-0.016977112638669453,-0.04404802371641526,19
NAB2,0.016838638181248054,0.025583399369068123,126
SVIL,0.016720573660168978,0.012500035888388036,4
ZNF708,-0.016668488676433953,0.004711630041641874,12
RLF,0.016541876734163803,0.020748736306997306,31
DLX4,0.01640326829856155,0.023228053483962174,49
ZNF224,-0.01631454236029304,-0.025781590390941425,175
SNIP1,-0.016210727819495403,-0.00887494895224153,63
ZNF236,0.01612885468651955,-0.02493829812915229,17
SETD1A,-0.01594516840797114,0.0010941086764493235,35
HAND1,-0.015685907880689538,-0.014832315262784957,77
HMGA1,0.015619861183820553,0.047321668606796555,175
ELF2,-0.0155279294845076,0.022660642894889386,29
LMTK3,-0.015351185418710141,-0.006837516758168072,107
NFXL1,-0.015332283733457965,-0.019997366271492456,90
PTPRA,-0.015322784622316562,-0.026812234135637512,8
RAG1,0.015311527017717633,0.014061018804565784,90
ZSCAN18,0.015270163662093245,0.002640034010054429,3
ZSCAN5B,0.015189747181848439,-0.005639810863126066,8
ZFP91,-0.015134030264415949,-0.026983620905154014,186
ZNF146,0.015071607707831489,0.024554531662517587,127
SIX4,-0.015001650937582354,-0.013742590514244224,12
ZNF595,0.01472852348381117,-0.0059959688223753405,12
SNRNP70,0.014664917921772698,0.01875786890434647,93
ZNF184,-0.014608785357982568,-0.01926038530196789,172
POU2AF1,0.014499184776364627,0.03062962505629807,154
SQSTM1,0.014413634863091489,0.019170883987197643,7
RPA2,0.014356739424533697,0.014356739424533697,2
SKIL,-0.013893220070564195,-0.0134563550405764,205
RBM34,-0.013840353748570422,0.010397789492174776,102
RYBP,-0.013741487176026745,-0.015975711623625002,391
ZNF214,0.013654479212965849,0.015042393704745707,6
BANP,-0.013556313222053442,-0.01150783768683155,29
ZSCAN4,-0.013464453715793617,-0.012231399586154587,353
XPO1,-0.013405254947180829,0.005696540028262864,11
ZNF766,-0.013349706170037364,-0.004349038428599577,159
ZNF257,-0.013339183611888131,-0.006249633550248115,59
PRMT5,0.013305341737572552,0.011579054245469823,10
ZNF85,-0.013066339295946519,-0.0261292217000471,31
ZNF175,0.012881387504024414,0.019632309980982927,92
E2F5,0.012783351908262325,0.011582848676941482,151
PPARA,0.012629928211087455,-0.031979996642796105,3
ZNF7,-0.012594549082176887,-0.009138536446177774,130
ZZZ3,-0.012404251655312474,-0.012245781957462495,28
ZNF579,0.012182923932279606,0.009363058234133997,101
SNAI1,-0.011943937394543101,-0.03680193802286842,41
ZNF260,-0.011752420540825315,-0.007753939474851812,75
SMCHD1,0.011627810486061577,0.048073993549840224,9
ATF5,0.01155372855003755,0.0012064458261345293,46
ZNF10,0.011502187810396686,0.020230349604333252,104
BAHD1,-0.011471548059237405,-0.034504033505221465,4
CBX5,-0.011425533146476784,-0.011105125447288727,142
PER1,0.011320885562758374,0.00595255258044923,3
ZNF8,-0.011148995207425445,-0.005397304521523823,100
MEF2D,-0.010862538333174668,-0.0162560648552578,75
BPTF,-0.010752788963637305,-0.005127176321297049,169
CC2D1A,0.010709307080918695,0.005980881104254064,216
ZSCAN21,-0.010599772833048754,-0.011469065266416181,65
ZNF584,0.010518758404480343,0.002227707478815625,55
ZNF697,-0.010283925968033953,-0.034187208853154905,23
BARX2,-0.010268713754809955,0.009895642159854542,99
ZBTB44,-0.010177960506748423,-0.017016687379312577,141
DYRK1A,-0.010133471994528591,-0.01748394497578921,51
ZNF596,0.010046315214830771,0.014065178411374578,160
ZNF16,-0.009929806617192982,-0.003342395530620948,18
ZBED4,0.009883795952692662,0.023183651141196873,16
ZNF169,-0.009702479018182122,-0.01571718649602255,5
GTF3A,-0.009687564888383848,0.04205625957798348,3
IRX2,0.009655712309132336,0.029112713659441514,30
ZNF513,0.00933225480200474,0.009244655299362017,130
PPARGC1A,-0.009284821638423722,-0.029704442596921815,7
SMN1,-0.009032758199971737,-0.015636893352466145,148
HES4,0.008965647011533746,0.009799150505552037,27
PSIP1,0.008914456037444608,0.0011461330204456943,81
ZBTB5,0.00874132217226656,0.01578020817574592,66
E2F2,-0.008694796555737362,-0.007549275617061604,126
HSF4,-0.008678504716852659,-0.024447693203163652,8
PTTG1,-0.00847916850952035,-0.021576726051986038,11
KAT5,0.008311101164049416,0.02778525774625849,54
LHX9,-0.008271175311628704,-0.018747208427777266,200
THRAP3,-0.008156490744402362,0.044953436619541196,4
GREB1,-0.008019580224651305,-0.009821133577100793,205
IRF5,-0.008001852281029447,-0.027407794020830573,39
KMT2D,-0.007855232452606461,0.0012747818211924777,154
ZNF777,0.007842647091387076,0.042566849654825045,11
TERF2,0.007773197377924561,0.017753297426737542,20
ZNF197,-0.007556318460462509,-0.018278354955549605,85
ZFP28,0.007240598214657721,0.02319218048630836,11
ZNF669,-0.0071290785980885766,0.00890900792165478,10
ZNF549,-0.006831134709484916,-0.013043860161236834,176
NR1I2,-0.006776860316746992,-0.10159510969187693,19
SUPT20H,0.006774665691430428,0.00856134268671457,40
ZNF140,0.006314479751382101,0.013414584227939307,112
SYNCRIP,-0.006119413698414491,0.010621053195492287,6
ZSCAN30,0.005964652456465651,0.001188476437280761,213
PBXIP1,-0.005892292236318673,-0.0024194668448451473,69
PAX6,-0.005858699631470889,-0.004533029055358708,131
CHAF1B,0.0056488373647674344,0.022694920560163256,105
PIAS4,-0.005515795095752218,-0.016658719318833573,14
ATF6,0.00545078242157682,0.004279957421902153,74
ZBTB49,0.005377918429682743,0.005377918429682743,1
NUP214,0.005356933373950122,-0.0050292825958155665,6
ZNF746,0.005274001136228546,-0.0012146974557373236,13
DNMT3A,-0.005042594769024116,-0.008425252023560337,59
TET1,-0.005018044748097831,-0.010855110748392918,119
FOXN3,0.0049772671489606716,0.008534467562165998,221
SALL4,-0.004694449080013595,0.005878660634922454,119
ZC3H11A,-0.004356737977113092,-0.005550892316229201,77
DIDO1,-0.004311420210841364,0.010721855938587823,52
HBZ,0.0038064296402756125,0.009453294696446944,192
PGM3,-0.003655627488103558,-0.027742027620166976,11
ZNF561,-0.0036229141547523195,-0.010631531753110587,100
ILK,0.003520974614778051,-0.021765428932699518,3
ZNF436,-0.0034357708620603067,0.019156320463660576,118
ZNF37A,-0.003224669016648893,0.01576700356956757,27
CTR9,0.003123556697748562,-0.01010420144375284,6
PITX1,0.0030751041279160826,0.026227895122960105,16
TFEB,0.0030630873638491673,-0.004820475879440872,144
PRDM4,0.002965827282949386,-0.016553109722394842,110
RBM15,0.0027478370419175076,-0.007395067729339469,30
SUMO1,-0.0026196553477237567,-0.004499370612439707,108
HMG20B,0.00243927442006925,-0.007512518541627555,264
ATXN7L3,0.0023372402736590797,0.002064305494763092,78
ZNF507,-0.0022618068564185002,-0.008649599198955568,38
RPA1,-0.002208577242202192,0.008039734363400552,7
AHRR,-0.0022079955244923236,-0.0040427943848445665,156
FOXE1,-0.0020987125748171192,-0.008151544596350448,88
HSF2,-0.001973465185208035,-0.018422302211565086,32
SAFB2,-0.0012277332007954783,-0.01598187143322672,50
ZNF843,0.001092085834940451,-5.32791010368891e-4,132
CHAMP1,-0.001079011783075296,0.008494803087803163,24
HES2,-9.989442134924363e-4,0.0052185701639837385,264
ZNF274,9.890813317295047e-4,0.005523083360072896,158
ZFP36L1,7.31092409496067e-4,0.010882839250456938,9
FOXJ2,-7.017079871878382e-4,0.0032508939771159207,61
PRDM12,4.985443189787374e-4,-0.0063378632951518535,18
ZSCAN2,4.930868078199287e-4,0.009092848573103517,130
HDGF,3.747082450052165e-4,-9.808950638091722e-4,106
ZNF589,-3.3227212545328187e-4,-5.962819695273774e-4,90
TOP2B,2.0131223705263256e-4,0.010855025140484073,69
MIER1,-2.897555184109731e-5,0.00728165020305771,91
IGF1R,-1.1102230246251565e-16,-1.1102230246251565e-16,1
